Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2004-07-27,615.7
2004-07-28,614.66
2004-07-29,626.56
2004-07-30,627.86
2004-08-02,622.55
2004-08-03,626.68
2004-08-04,620.17
2004-08-05,621.32
2004-08-06,605.43
2004-08-09,600.31
2004-08-10,605.6
2004-08-11,599.83
2004-08-12,598.52
2004-08-13,596.5
2004-08-16,602.34
2004-08-17,605.24
2004-08-18,607.58
2004-08-19,608.35
2004-08-20,607.02
2004-08-23,615.66
2004-08-24,614.92
2004-08-25,616.2
2004-08-26,621.75
2004-08-27,625.42
2004-08-30,623.69
2004-08-31,617.62
2004-09-01,622.44
2004-09-02,626.95
2004-09-03,633.49
2004-09-06,635.56
2004-09-07,636.38
2004-09-08,635.23
2004-09-09,631.48
2004-09-10,634.98
2004-09-13,643.07
2004-09-14,640.94
2004-09-15,639.11
2004-09-16,639.6
2004-09-17,644.87
2004-09-20,641.97
2004-09-21,645.34
2004-09-22,638.17
2004-09-23,632.57
2004-09-24,633.64
2004-09-27,630.18
2004-09-28,632.16
2004-09-29,635.09
2004-09-30,630.48
2004-10-01,646.61
2004-10-04,652.94
2004-10-05,654.48
2004-10-06,654.89
2004-10-07,655.52
2004-10-08,651.31
2004-10-11,650.89
2004-10-12,644.91
2004-10-13,645.88
2004-10-14,642.13
2004-10-15,641.51
2004-10-18,640.41
2004-10-19,647.95
2004-10-20,640.56
2004-10-21,644.55
2004-10-22,645.1
2004-10-25,632.49
2004-10-26,633.65
2004-10-27,644.7
2004-10-28,652.12
2004-10-29,650.55
2004-11-01,655.71
2004-11-02,660.78
2004-11-03,662.05
2004-11-04,661.78
2004-11-05,665.32
2004-11-08,664.79
2004-11-09,663.04
2004-11-10,664.83
2004-11-11,672.06
2004-11-12,672.88
2004-11-15,670.73
2004-11-16,666.3
2004-11-17,676.3
2004-11-18,675.14
2004-11-19,669.55
2004-11-22,666.43
2004-11-23,665.8
2004-11-24,666.46
2004-11-25,672.79
2004-11-26,671.58
2004-11-29,669.77
2004-11-30,666.35
2004-12-01,674.88
2004-12-02,678.04
2004-12-03,674.53
2004-12-06,672.89
2004-12-07,676.12
2004-12-08,674.73
2004-12-09,669.07
2004-12-10,672.77
2004-12-13,678.44
2004-12-14,679.75
2004-12-15,676.93
2004-12-16,678.81
2004-12-17,669.97
2004-12-20,673.39
2004-12-21,674.91
2004-12-22,680.69
2004-12-23,683.74
2004-12-24,683.79
2004-12-27,682.17
2004-12-28,684.71
2004-12-29,684.26
2004-12-30,683.81
2004-12-31,683.76
2005-01-03,688.4
2005-01-04,688.65
2005-01-05,683.11
2005-01-06,687.52
2005-01-07,690.67
2005-01-10,690.21
2005-01-11,683.85
2005-01-12,677.98
2005-01-13,680.84
2005-01-14,683.6
2005-01-17,687.04
2005-01-18,686.89
2005-01-19,686.31
2005-01-20,681.16
2005-01-21,681.89
2005-01-24,681.19
2005-01-25,686.01
2005-01-26,685.5
2005-01-27,688.84
2005-01-28,685.84
2005-01-31,692.5
2005-02-01,698.36
2005-02-02,701.49
2005-02-03,698.72
2005-02-04,705.9
2005-02-07,709.35
2005-02-08,710.26
2005-02-09,707.58
2005-02-10,707.5
2005-02-11,715.89
2005-02-14,714.88
2005-02-15,717.48
2005-02-16,713.21
2005-02-17,712.92
2005-02-18,714.02
2005-02-21,712.06
2005-02-22,707.79
2005-02-23,703.8
2005-02-24,703.04
2005-02-25,711.85
2005-02-28,710.83
2005-03-01,715.5
2005-03-02,716.5
2005-03-03,715.43
2005-03-04,722.11
2005-03-07,723.89
2005-03-08,719.9
2005-03-09,716.33
2005-03-10,709.75
2005-03-11,711.3
2005-03-14,711.39
2005-03-15,716.73
2005-03-16,704.74
2005-03-17,706.52
2005-03-18,709.72
2005-03-21,706.14
2005-03-22,709.0
2005-03-23,705.84
2005-03-24,711.37
2005-03-29,713.39
2005-03-30,710.35
2005-03-31,710.22
2005-04-01,711.71
2005-04-04,707.31
2005-04-05,712.4
2005-04-06,715.23
2005-04-07,719.16
2005-04-08,719.43
2005-04-11,717.71
2005-04-12,714.12
2005-04-13,717.7
2005-04-14,716.48
2005-04-15,702.45
2005-04-18,687.66
2005-04-19,689.89
2005-04-20,686.85
2005-04-21,688.25
2005-04-22,694.58
2005-04-25,697.2
2005-04-26,696.31
2005-04-27,687.55
2005-04-28,686.47
2005-04-29,687.31
2005-05-02,692.57
2005-05-03,695.74
2005-05-04,700.37
2005-05-05,706.16
2005-05-06,709.63
2005-05-09,706.77
2005-05-10,701.21
2005-05-11,698.28
2005-05-12,703.92
2005-05-13,704.83
2005-05-16,703.65
2005-05-17,702.96
2005-05-18,715.4
2005-05-19,719.47
2005-05-20,719.16
2005-05-23,724.9
2005-05-24,724.67
2005-05-25,723.09
2005-05-26,729.29
2005-05-27,729.49
2005-05-30,733.89
2005-05-31,729.19
2005-06-01,741.03
2005-06-02,742.25
2005-06-03,738.59
2005-06-06,735.02
2005-06-07,744.03
2005-06-08,741.84
2005-06-09,741.2
2005-06-10,746.17
2005-06-13,749.96
2005-06-14,750.68
2005-06-15,747.05
2005-06-16,750.02
2005-06-17,754.39
2005-06-20,752.14
2005-06-21,756.3
2005-06-22,756.89
2005-06-23,759.16
2005-06-24,752.07
2005-06-27,745.29
2005-06-28,752.31
2005-06-29,756.25
2005-06-30,756.96
2005-07-01,763.75
2005-07-04,765.42
2005-07-05,763.7
2005-07-06,767.56
2005-07-07,754.69
2005-07-08,767.67
2005-07-11,773.04
2005-07-12,770.64
2005-07-13,776.44
2005-07-14,780.37
